2;05.09.2018,04:50:26;Type;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;R1;R2;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;
39;05.09.2018,04:57:13;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
40;05.09.2018,04:57:23;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
41;05.09.2018,04:57:33;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
42;05.09.2018,04:57:43;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
43;05.09.2018,04:57:53;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
44;05.09.2018,04:58:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
45;05.09.2018,04:58:13;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
46;05.09.2018,04:58:23;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
47;05.09.2018,04:58:33;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
49;05.09.2018,04:58:43;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
50;05.09.2018,04:58:53;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
51;05.09.2018,04:59:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
52;05.09.2018,04:59:13;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
53;05.09.2018,04:59:23;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
54;05.09.2018,04:59:33;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
55;05.09.2018,04:59:43;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
56;05.09.2018,04:59:53;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
57;05.09.2018,05:00:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
