94;05.09.2018,05:19:03;Type;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;R1;R2;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;
144;05.09.2018,05:51:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
145;05.09.2018,05:52:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
146;05.09.2018,05:53:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
147;05.09.2018,05:54:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
148;05.09.2018,05:55:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
149;05.09.2018,05:56:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
151;05.09.2018,05:57:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
152;05.09.2018,05:58:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
153;05.09.2018,05:58:24;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;1;;;;;;;;;;;;;;;;;1;1;0;0;
154;05.09.2018,05:58:25;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
155;05.09.2018,05:59:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
156;05.09.2018,06:00:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
157;05.09.2018,06:01:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
158;05.09.2018,06:02:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
159;05.09.2018,06:03:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
160;05.09.2018,06:04:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
161;05.09.2018,06:05:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
162;05.09.2018,06:06:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
163;05.09.2018,06:07:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
164;05.09.2018,06:08:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
165;05.09.2018,06:09:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
166;05.09.2018,06:10:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
167;05.09.2018,06:11:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
168;05.09.2018,06:12:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
169;05.09.2018,06:13:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
170;05.09.2018,06:14:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
171;05.09.2018,06:15:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
172;05.09.2018,06:16:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
173;05.09.2018,06:17:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
174;05.09.2018,06:18:06;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
